game_id, win_result, home_pts, home_ ts_pct, home.fta, home.ft_pct, home.fg3a, home.fg3_pct, home.ast, home.tov, home.oreb, home.dreb, home.stl, home.blk, home.defl, home.lb_rec, home.cont_2, home.cont_3, home.defg_pct, home.off_rtg, home.def_rtg, home.pf, away.pts, away.ts_pct, away.fta, away.ft_pct, away.fg3a, away.fg3_pct, away.ast, away.tov, away.oreb, away.dreb, away.stl, away.blk, away.defl, away.lb_rec, away.cont_2, away.cont_3, away.defg_pct, away.off_rtg, away.def_rtg, away.pf
21700001,1,115.31,0.581,25.13,0.777,33.37,0.372,23.02,13.95,9.29,37.02,6.8,4.03,12.26,7.57,36.29,24.03,0.538,110.44,109.36,18.05,107.1,0.556,20.77,0.763,32.28,0.377,24.68,13.4,8.04,33.06,7.37,4.24,13.61,7.34,37.17,23.25,0.483,106.65,101.38,18.2
21700002,0,127.16,0.611,22.68,0.866,39.23,0.391,32.85,16.5,6.01,33.09,8.44,6.52,15.22,8.3,37.78,22.64,0.514,112.97,106.46,17.22,115.84,0.598,25.98,0.799,44.03,0.371,24.17,13.34,8.32,34.0,9.03,4.41,15.18,8.6,35.85,19.96,0.522,114.79,104.5,16.95
21700003,1,107.5,0.523,21.45,0.749,26.04,0.344,23.29,13.65,10.1,34.19,8.03,3.67,14.48,8.11,33.59,21.57,0.546,105.22,105.85,18.36,114.94,0.564,29.71,0.731,29.93,0.38,19.09,12.5,10.92,35.95,6.25,4.79,12.01,7.29,39.45,21.19,0.523,107.98,108.14,17.99
21700004,1,108.14,0.561,20.47,0.785,24.99,0.37,23.52,13.44,9.13,32.76,9.24,4.3,17.03,8.58,35.83,26.1,0.528,107.88,105.89,18.58,109.14,0.537,24.41,0.774,38.38,0.349,28.28,15.14,8.68,34.39,7.28,3.87,14.98,8.46,36.91,19.83,0.526,105.54,108.65,19.83
21700005,1,111.64,0.544,21.29,0.77,31.6,0.351,25.41,15.2,7.6,32.47,8.58,4.67,15.95,8.21,34.49,17.46,0.53,104.0,108.98,18.03,105.68,0.544,18.6,0.761,31.92,0.361,23.04,13.42,8.03,32.44,7.5,5.18,13.5,8.49,39.73,21.29,0.508,104.54,104.94,18.28
21700006,1,113.74,0.556,24.88,0.764,28.26,0.378,25.43,14.78,9.7,32.59,8.03,4.5,15.54,7.68,38.22,20.12,0.521,107.67,106.46,19.77,113.89,0.558,24.24,0.752,29.15,0.378,30.79,17.47,9.39,36.36,8.63,5.13,15.8,9.61,37.19,23.04,0.49,107.45,101.75,19.98
21700007,0,107.1,0.556,20.77,0.763,32.28,0.377,24.68,13.4,8.04,33.06,7.37,4.24,13.61,7.34,37.17,23.25,0.483,106.65,101.38,18.2,106.77,0.576,24.23,0.783,19.77,0.36,24.13,13.51,9.86,33.91,7.77,5.65,13.77,8.29,44.39,20.65,0.528,107.86,108.75,21.74
21700008,1,108.13,0.537,26.24,0.793,30.16,0.347,23.63,13.94,8.6,31.47,6.75,4.57,14.0,7.59,33.03,24.5,0.507,102.75,107.91,20.91,121.71,0.58,25.59,0.767,28.83,0.368,22.09,15.35,9.38,36.19,8.06,6.5,14.75,9.34,44.08,23.16,0.505,108.01,105.8,19.66
21700009,0,105.6,0.537,17.45,0.783,36.91,0.358,25.23,12.34,6.23,31.13,6.67,2.33,12.04,8.54,31.5,24.08,0.534,103.86,107.33,16.67,113.1,0.56,21.34,0.826,32.94,0.363,22.39,15.31,10.21,35.03,8.24,4.99,14.63,8.73,42.11,24.19,0.53,104.25,108.76,19.6
21700010,1,107.55,0.571,22.02,0.772,29.29,0.361,21.92,14.11,9.19,34.42,8.77,4.92,15.2,7.71,41.27,21.8,0.514,106.32,102.41,18.17,112.21,0.566,23.33,0.761,29.73,0.368,27.35,15.28,10.74,32.41,8.15,5.06,15.85,8.92,39.17,22.69,0.536,110.87,108.82,17.86
